date,type,average,value
2016-10-01,IRA accounts,Mean,2.507111935683364
2016-10-01,IRA accounts,Median,0
2016-10-02,IRA accounts,Mean,4.121830550401979
2016-10-02,IRA accounts,Median,0
2016-10-03,IRA accounts,Mean,1.91713048855906
2016-10-03,IRA accounts,Median,0
2016-10-04,IRA accounts,Mean,2.3327149041434754
2016-10-04,IRA accounts,Median,0
2016-10-05,IRA accounts,Mean,2.728509585652443
2016-10-05,IRA accounts,Median,0
2016-10-06,IRA accounts,Mean,2.549165120593692
2016-10-06,IRA accounts,Median,0
2016-10-07,IRA accounts,Mean,2.147804576376005
2016-10-07,IRA accounts,Median,0
2016-10-08,IRA accounts,Mean,1.4087816944959801
2016-10-08,IRA accounts,Median,0
2016-10-09,IRA accounts,Mean,2.7544836116264686
2016-10-09,IRA accounts,Median,0
2016-10-10,IRA accounts,Mean,5.802721088435374
2016-10-10,IRA accounts,Median,0
2016-10-11,IRA accounts,Mean,4.442176870748299
2016-10-11,IRA accounts,Median,0
2016-10-12,IRA accounts,Mean,2.873222016079159
2016-10-12,IRA accounts,Median,0
2016-10-13,IRA accounts,Mean,3.5769944341372915
2016-10-13,IRA accounts,Median,0
2016-10-14,IRA accounts,Mean,3.6066790352504636
2016-10-14,IRA accounts,Median,0
2016-10-15,IRA accounts,Mean,2.9647495361781075
2016-10-15,IRA accounts,Median,0
2016-10-16,IRA accounts,Mean,3.3642547928262214
2016-10-16,IRA accounts,Median,0
2016-10-17,IRA accounts,Mean,4.374768089053803
2016-10-17,IRA accounts,Median,0
2016-10-18,IRA accounts,Mean,5.363017934446506
2016-10-18,IRA accounts,Median,0
2016-10-19,IRA accounts,Mean,5.895485466914038
2016-10-19,IRA accounts,Median,0
2016-10-20,IRA accounts,Mean,5.393939393939394
2016-10-20,IRA accounts,Median,0
2016-10-21,IRA accounts,Mean,2.661719233147805
2016-10-21,IRA accounts,Median,0
2016-10-22,IRA accounts,Mean,4.769325912183055
2016-10-22,IRA accounts,Median,0
2016-10-23,IRA accounts,Mean,4.025974025974026
2016-10-23,IRA accounts,Median,0
2016-10-24,IRA accounts,Mean,2.7186147186147185
2016-10-24,IRA accounts,Median,0
2016-10-25,IRA accounts,Mean,3.7130488559059986
2016-10-25,IRA accounts,Median,0
2016-10-26,IRA accounts,Mean,4.800865800865801
2016-10-26,IRA accounts,Median,0
2016-10-27,IRA accounts,Mean,4.615337043908473
2016-10-27,IRA accounts,Median,0
2016-10-28,IRA accounts,Mean,3.0482374768089056
2016-10-28,IRA accounts,Median,0
2016-10-29,IRA accounts,Mean,3.4366110080395793
2016-10-29,IRA accounts,Median,0
2016-10-30,IRA accounts,Mean,4.468150896722325
