var,category,smapp,pew,acs
sex,male,44.18449197860962,50,48.65255478288705
sex,female,55.81550802139037,50,51.347445217112956
age,18-29,12.70053475935829,29,21.524833891787758
age,30-49,40.24064171122995,44,33.38646163017857
age,50-64,33.22192513368984,19,25.362378783207195
age,65+,13.836898395721924,8,19.72632569482648
education,no college,64.97326203208557,58,68.72222136781664
education,college+,35.02673796791444,42,31.277778632183345
income,"< 30,000",28.14245810055866,23,25.83624112943233
income,"30,000+",71.85754189944134,77,74.16375887056768
race,white,77.40641711229947,60,72.6165455145471
race,poc,22.593582887700535,28,27.3834544854529
